微博正文,发布位置,话题,转发数,评论数,点赞数,发布时间,省,市
「国货崛起，FAKE却趁虚而入……」2018年年初，纽约时装周上的李宁为国争光，国产崛起风潮迅速刮起，中国李宁单品以至于在国内媒体的争相报道下，席卷大江南北。2021年3月底，因为李宁支持并一直使用的是新疆棉而好评如潮，后续签下肖战和中国李宁2021秋冬的大秀，让李宁收获的不仅是流量，还有肯定。李宁这些年的付出，相信也只有李宁自己知道，但肉眼可见的改变就是，原本只会在运动跑步的时候穿李宁到如今吸引越来越多的年轻人开始穿李宁玩穿搭了。与其同时，市场也迅速做出了反应，李宁的鞋，越来越没有以前好买了。鞋友们也从来没想过，我们的国货火了，我们却很难买到了。然后，FAKE出现了。早在2016年，电商平台上就已有各式李宁FAKE鞋款出现。“中国李宁”boxlogo卫衣还没上纽约时装周，假货贩子们就已经在百度贴吧发帖揽客了。看来，假货贩子们才是大众接触潮流的一线情报员啊。和2016年的FAKE不同，如今的李宁假鞋做的更加用心了，不知道该悲哀还是该欣慰，一路坚持、经历过高潮和低潮的李宁，出现了假鞋，不得否认的是这是对李宁的肯定，和前几年李宁的假货完全就是垃圾相比，现在假货商们会用心复刻了。但质量再好，也是FAKE。换位思考一下，如果你设计出的东西，被别人直接拿走一模一样的抄袭，还卖的比你便宜，你会是什么感受？将心比心，品牌也是一样，所以，出于保护原创还是保护我们自己，都必须对FAKE说不！不明白为什么会有人认为买正品就是花冤枉钱。不知道从什么时候开始，买FAKE变得理直气壮，买正品就是花冤枉钱的歪理横行鞋圈，这种想法才是最为可笑，有这种想法的出现可以归咎于自己的虚荣心，以及明星们上脚之后想跟风。当钱不足的时候，买FAKE真的合理吗？每个人都会有想买一件超出预算商品的时候，如果真的喜欢是不会退而求其次的，那么球鞋也是一样，买一双FAKE是在玷污自己的热爱吗？李宁FAKE的崛起在某一方面印证了李宁真正的崛起，但也是巨大的诱惑，面对FAKE一定要拒绝！也要谨慎，小心买到FAKE。,,,0,11,50,2021-04-17 23:27:00,北京市,
合集莎维莱夫爸爸短袖t恤【29.9】O网页链接牧西尼简约国潮印花短袖【39】O网页链接战地吉普新疆棉男士短袖t恤【19.9】O网页链接,,,0,1,2,2021-04-17 23:25:00,,
地森林根本没有路径。树#山不是云#影重重，看不到其中真实地景象。这就是死亡谷的中心地带了。“等一下。”千灵开口道。话音刚落，千灵等人就看到了野兽，或者说，一群野兽。#BCI下架抵制新疆棉声明是啥操作#,,"山不是云,BCI下架抵制新疆棉声明是啥操作",0,0,0,2021-04-17 23:22:00,,
#新疆棉中国心#我在童装店工作，孩子们都很喜欢新疆棉做的衣服O网页链接,,新疆棉 中国心,3,0,0,2021-04-17 23:17:00,,
#新疆棉中国心#棉花给我们带来了经济收入，我们决不允许你们抹黑O网页链接,,新疆棉 中国心,0,0,0,2021-04-17 23:16:00,,
#新疆棉中国心#棉花的经济效益好，给我们生活带来了很大的改变O网页链接,,新疆棉 中国心,0,0,0,2021-04-17 23:14:00,,
#新疆棉中国心#今年我家棉花已经种好了，都是机器种的O网页链接,,新疆棉 中国心,0,0,0,2021-04-17 23:12:00,,
#新疆棉中国心#我们新疆的棉花质量棒棒的O网页链接,,新疆棉 中国心,0,0,0,2021-04-17 23:11:00,,
#新疆棉中国心#坚决反对抵制新疆棉花O网页链接,,新疆棉 中国心,0,0,0,2021-04-17 23:07:00,,
#新疆棉中国心#有空我们就去捡棉花一天能赚三四百元O网页链接,,新疆棉 中国心,0,0,0,2021-04-17 23:06:00,,
新疆棉事件总得来说是好事，至少对我来说是，不用看狗练舞只穿那条三道杠或者其他丑裤子总是好的,,,0,5,0,2021-04-17 23:04:00,,
迪卡侬也抵制新疆棉？！取消明天采购计划,,,0,0,0,2021-04-17 22:59:00,,
新疆棉之后想支持国产但国产跑鞋都好丑,,,0,2,0,2021-04-17 22:38:00,,
我发现在某些国人的眼中，新疆棉事件好像没有发生过一样；也好像就和平常听的一则新闻，还是与自身利益毫无相关的那种。曾经某些宣布要抵制新疆棉的品牌，现在国有些人还在继续购买其产品。这是因为些啥，看不透了....,,,0,0,5,2021-04-17 22:35:00,北京市,
翻出来了以前在新疆拍的照片，这是在乡村调研的时候拍摄的，新疆还是很美的，乡亲们也很热情，孩子们很活泼！#我为什么支持新疆棉##新疆##新疆雪白的棉花##西行纪#,,"我为什么支持新疆棉,新疆,新疆雪白的棉花,西行纪",0,0,1,2021-04-17 22:20:00,,
"年轻时,用力去生活。年老时,想象自己年轻时的模样,永远朝气蓬勃。祝你我,一生平安,前程万锦。看《乌龙山伯爵》，居然看成了相声。当傅菁喊老公的时候，全场都在喊“哎”！和开心麻花其他的作品一样，加入了很多时事，如日本倒核污染水和新疆棉。只不过，这部十年前的舞台剧，我个人觉得不如之前看的开心麻花舞台剧！本来想去奥体跑的我，最终放弃。跑步10km，用时1:12:26。好想去参加一场马拉松。#五一国内出游有望达2亿人次#我是其中的一员，是回家陪家人。旅游，一定是看人潮人海。我，就不去添乱了。",北京·北京展览馆,五一国内出游有望达2亿人次,1,1,10,2021-04-17 22:19:00,,
回避某某品牌后（新疆棉）买鞋真的好难扫了一圈只剩斐乐了。。。但是爱国是第一要务,,,0,1,5,2021-04-16 23:38:00,,
新疆棉事件持续发酵，陈冠希的潮牌CLOT临时决定取消原定于3月25日上午10点发售的Nike联名球鞋，并删除了微博与微信公众号内的宣传文章和宣传图上的Nike标志。截至目前，暂未对此作出回应。#明星时尚##爱豆能量月#,,"明星时尚,爱豆能量月",0,0,1,2021-04-16 23:33:00,,
一切主义，观念，都再被不断冲击什么集体荣誉，什么家国情怀，什么天下关怀，什么建功立业这些都是人为赋予意义的事而读的历史越多，看的新闻越多越觉得一切都是虚伪的追求荣誉的背后是沽誉钓名成天吹什么家国情怀的人更是如此我不接受这些新疆棉，疫苗，央行工作报告，日本核废水排放，哪一个不是热点？去年日本帮中国的时候都说人家山川异域风月同天说什么深明大义，到现在就一边倒说日本知小节而无大义究竟事实在哪儿真相在哪儿？到底什么是真的？但到底什么才是正确的？愈发的迷惑了,,,1,2,0,2021-04-16 23:32:00,,
#陈冠希终止与NIKE合作#新疆棉事件持续发酵，陈冠希的潮牌CLOT临时决定取消原定于3月25日上午10点发售的Nike联名球鞋，并删除了微博与微信公众号内的宣传文章和宣传图上的Nike标志。截至目前，#nike#暂未对此作出回应。,,"陈冠希终止与NIKE合作,nike",0,0,1,2021-04-16 23:30:00,,
0点0点！！【49.6】顶瓜瓜.薄款纯棉睡衣套装，ta家还是挺舒适的，新疆棉的节奏！然后也有睡裙可选~,,,0,1,0,2021-04-16 23:20:00,,
0点0点！！【49.6】顶瓜瓜.薄款纯棉睡衣套装，ta家还是挺舒适的，新疆棉的节奏！然后也有睡裙可选~,,,0,1,0,2021-04-16 23:20:00,,
#我支持新疆棉花#衣服超级好！！面料也超舒服！！不愧是新疆棉@WUT品牌,,我支持新疆棉花,1,4,8,2021-04-16 23:15:00,,
纸片人🏃🏼大t！新疆棉！！水洗做旧工艺不费劲的时髦感！版型巧妙慵懒🟢日常怎么穿都随意好看！👍里面揪2⃣️位大t！1⃣️位一套ufx茶茶04/21新品,,,6,314,795,2021-04-16 22:42:00,,
自从新疆棉事件之后彷佛国产品牌就突然进入了人们的视野。其实早在事件爆发之前我国自有运动品牌就已经在球鞋科技上取得了很大的突破，并在一代又一代的产品上加以完善，很多科技已经领先同价位其他品牌。在篮球实战圈、马拉松竞跑圈我们自有的品牌基本常年霸榜，他们以专业的视角和实际的体验告诉大家国产品牌已经不是当年的水平。篮球鞋的抓地稳定变向突破起跳回落，跑鞋的助力回弹减震抗变轻盈舒适，这些都已经属于世界级水平了，䨻、云、弜、A-FlashFoam、Nitro-Speed、Smart-S.A.M、TAICHI、P-PoPuP、GRADIENTdual、QU!KFLAM、动力巢PB等等科技在各大品牌中脱颖而出，并且具有良好的市场反馈，难道下一个世界级品牌不会出现在中国吗？不，在2021年这个国产品牌崛起元年我们会让世界看见属于我们的骄傲，记住2021。#安踏琉璃光##安踏#,,安踏琉璃光,0,0,2,2021-04-16 22:25:00,,
#2021西安马拉松##最色西马#今年西马五周年，因为新疆棉事件，比赛服没能统一发放，所以今年的西马赛场绝对是最色的一场西马，各种五颜六色的比赛服，也必将是今年西马的一大亮点！,,"2021西安马拉松,最色西马",0,1,2,2021-04-16 22:24:00,,
我分享了话题#bci下架抵制新疆棉声明是啥操作#,,bci下架抵制新疆棉声明是啥操作,0,0,0,2021-04-16 22:21:00,,
中国人好忙好累前段时间还忙着反对hm为新疆棉呐喊，最近又要接着骂日本核废水,,,0,0,0,2021-04-16 22:16:00,,
乌龙山伯爵必看！放松好笑里面提到支持新疆棉的时候全场鼓掌👏,北京·北京展览馆剧场,,0,5,6,2021-04-16 22:08:00,,
近日良好棉花发展协会(BCI)悄悄下架抵制新疆棉花声明。2020年10月，良好棉花发展协会(BCI)宣布对所有新疆棉企无限期取消担保认证，让新疆棉产品进入了国际贸易的“黑名单”。而在今年中国民众声讨并抵制BCI及H&M等其会员品牌后，BCI偷偷下架了这份引起轩然大波的声明。O没道歉！没认错！BCI悄悄下架抵制新疆棉花声明,,,2,1,1,2021-04-16 21:49:00,,
9.2eb:/%新疆棉中国心在纺织厂学的新技术，是我生存的本领；ΔΔSIN2j1Q5xh8ΔΔdakaiDou吟搜索LA333335555579786的微博视频,,,1,1,1,2021-04-16 21:46:00,,
系列骚操作开始。在下架声明获得了一波热搜后，得物上的耐克阿迪等抵制新疆棉品牌不仅没下架，反而在得物上得到了一波波疯涨追捧……你们瞧啊，在天猫淘宝京东国美苏宁唯品会……各种主流电商平台上，都没有这种情况，唯独得物上，出现了一波又一波抵制新疆棉品牌大受欢迎疯狂抢购供不应求的景象。,,,0,0,8,2021-04-16 21:30:00,,
奉劝优衣库换用新疆棉太难受了这衣服料子,,,0,0,1,2021-04-16 21:18:00,,
"头条开讲2021-04-16抹黑大陆新疆棉,支持日本排放核废水!国际认证美国是认知作战先驱!大家直接访问论坛网址qimila.cool即可!",,,0,0,1,2021-04-16 21:17:00,,
#腾讯新闻#新疆棉女汉奸曝光！曾帮助澳美对付中国，妖女许秀中报应来了O新疆棉女汉奸曝光！曾帮助澳美对付中国，妖女许秀中报应来了L新疆棉女汉奸曝光！曾帮助澳美对付中国，妖女许秀中报应来了来自@腾讯新闻,,腾讯新闻,2,5,12,2021-04-16 21:15:00,辽宁省,大连市
1.吴亦凡他《青簪行》里面和杨紫属于平番，剧方更倾向于通过吴亦凡这边来招商引资，对他的照顾也就挺多的。现阶段这部剧招商成功的话，会安排在第三季度网络播出。2.鹿晗的品牌在hm出事之前就用新疆棉了，但是他从来也没有刻意宣传过这点。3.罗云熙的新剧《皓衣行》现在仍然在挣扎呢，剧方很努力地在争取，想要尽快播出来，他和陈飞宇官宣的那个双人商务因为都是短期，所以等不了了，再不宣就要过期了~4.杨洋和热巴那部言情剧大概率暑期档会上，跟隔壁《余生》撞档了，杨洋对新剧很看好，最近已经开始亲自为新剧炒话题热巴那边还有其他cp要炒，她是二番，也不急着扛剧。5.赵露思接下来可能会和李现合作，两人正在谈一部现代剧，赵露思现在的资源特别好，可以一直无缝进组。6.林更新这边最近的新剧就是《请叫我总监》，女主是谭松韵，他现在接戏还是挺看质量的。然后最近有一部新的剧《帝皇书》其实在给他递本子了。开出来的条件还是蛮好的。7.李宏毅对于和辣目洋子合作没什么意见，只是有时候表情管理不太好。这部《皇后刘黑胖》其实挺有潜力的，题材新颖。8.林更新这边最近的新剧就是《请叫我总监》，女主是谭松韵，他现在接戏还是挺看质量的。然后最近有一部新的剧《帝皇书》其实在给他递本子了。开出来的条件还是蛮好的。9.腾讯视频综艺《明日之子少年民谣季》上线时间在六月中旬，拟邀艺人嘉宾：马頔，毛不易，邓紫棋，李雪琴，五条人，吴亦凡，蔡徐坤，陈奕迅。10.孙俪有两部待播剧，一个是献礼剧《功勋》，另一个就是鹅的《理想之城》。她现在拍戏只看本子和题材，所以除了拍戏外，就是休息带娃了。而且她只接在上海本地和周围城市拍的戏，所以普通的剧组都请不到她。,,,0,2,11,2021-04-16 21:09:00,,
我只卖新疆棉做的纺织品O网页链接,,,0,0,0,2021-04-15 23:23:00,,
我家店里的棉织品用的都是新疆棉，质量非常好，大家都很喜欢O网页链接,,,0,0,0,2021-04-15 23:22:00,,
#青春向善，筑梦闽科##BCI下架抵制新疆棉声明是啥操作#2020年10月，瑞士良好棉花发展协会（BCI）宣布对所有新疆棉企无限期取消担保认证，让新疆棉产品进入了国际贸易的“黑名单”。而在今年中国民众声讨并抵制BCI及H&M等会员品牌后，BCI偷偷下架了这份引起轩然大波的声明......@青春闽科,,"青春向善，筑梦闽科,BCI下架抵制新疆棉声明是啥操作",0,0,0,2021-04-15 23:17:00,,
新疆棉✨男士t恤短袖2021新款夏季潮流纯棉宽松半袖打底衫体恤T【29.9】#生活小达人，省钱小能手#【新疆棉】男士t恤短袖2021新款夏季潮流纯棉宽松半袖打底衫体恤T,,生活小达人，省钱小能手,0,0,0,2021-04-15 23:17:00,,
#BCI下架抵制新疆棉声明是啥操作#别介啊！有本事接着刚！呕～,,BCI下架抵制新疆棉声明是啥操作,0,0,0,2021-04-15 23:16:00,上海市,
无印良品母公司就新疆棉最新发声O无印良品母公司就新疆棉最新发声,,,0,0,0,2021-04-15 23:14:00,,
新疆棉事情以后，完全对某些品牌没了兴趣，70块买了双回力，刚寻思着去买双双星(小时候最爱的钉鞋)，结果只要23块钱，感觉还挺香的,,,0,3,1,2021-04-15 23:11:00,,
中国国际电视台4月15日发现，瑞士良好棉花发展协会（BCI）偷偷下架了“抵制新疆棉花”的声明，此前曾引导H&M、耐克等多个外国品牌停购新疆棉。不过，BCI如今下架声明也迟了，可能已经“偷鸡不成蚀把米”——中国正在计划弃用瑞士标准。《BCI抵制新疆棉反砸了自己饭碗？中企强势反击：加速构建中国标准》BCI抵制新疆棉反砸了自己饭碗？中企强势反击：加速构建中国标准O网页链接,,,1,0,5,2021-04-15 23:04:00,浙江省,杭州市
不得不说21世纪报这期出的很棒！很生动形象！那个礼帽简直神来之笔啊#BCI下架抵制新疆棉声明是啥操作##我支持新疆棉花#,,"BCI下架抵制新疆棉声明是啥操作,我支持新疆棉花",0,0,3,2021-04-15 22:59:00,,
【不想放弃中国市场优衣库、无印良品再就新疆棉问题发声】新疆棉花的话题仍在发酵，多家此前使用新疆棉花的日本企业都处在风口浪尖。14日，日本知名杂货品牌无印良品母公司良品计划就使用新疆棉花问题发布最新声明。声明称，公司曾委托第三方机构赴新疆当地检查，并未发现任何重大违反法律法规或行为准则的情况。日媒对此解读称，这一声明意味着尽管面临着巨大压力，无印良品仍将继续使用新疆棉花。此前一天（13日），优衣库也就新疆棉问题发声。优衣库表示在监视全部的工厂和棉花的生产，一旦发现问题就会与对方停止合作。此外，优衣库创始人还说，“这与其说是人权问题，（不如说）更贴近政治问题。“O网页链接#侨报新闻速递##新疆棉#,,"侨报新闻速递,新疆棉",1,0,2,2021-04-15 22:58:00,,
【记得带节奏的BCI吗？它的官网悄悄把“抵制新疆棉”声明下架了】2020年8月，瑞士良好棉花发展协会（BCI）宣布对所有新疆棉企无限期取消担保认证。而据CGTN报道，在今年中国民众声讨并抵制BCI及H&M等会员品牌后，BCI近日却偷偷下架了这份引起轩然大波的声明。#BCI官网下架抵制新疆棉花声明#@青蜂侠BeeL青蜂侠Bee的微博视频,,BCI官网下架抵制新疆棉花声明,0,0,0,2021-04-15 22:58:00,,
新疆棉事件才过一月不到，看到还是很多人买某某某等品牌，一时间也不知道自己的抵制是有用还是没用。,,,0,4,2,2021-04-15 22:47:00,,
#BCI官网下架抵制新疆棉花声明#【BCI官网下架“抵制新疆棉花”声明】据@CGTN，2020年10月，瑞士良好棉花发展协会（BCI）宣布对所有新疆棉企无限期取消担保认证，让新疆棉产品进入了国际贸易的“黑名单”。而在今年中国民众声讨并抵制BCI及H,,BCI官网下架抵制新疆棉花声明,0,0,1,2021-04-15 22:45:00,新疆维吾尔自治区,阿克苏地区
新疆棉前一天买的……一直在掉价再不买了,大连·亿达普罗旺斯,,0,4,1,2021-04-15 22:38:00,,
余凯宁🇨🇳#支持新疆棉力挺中国造#小余@余凯宁同学的小粉丝@养着肥猫的肥橙@Stephanie狠闹腾怀揣着支持新疆棉花，力挺中国造的信念，联合@百站粉丝后援联盟向新疆和田地区于田县第三中学捐赠了80床棉被新疆地区的棉花是世界上最好的棉花之一愿能给孩子们送去温暖与祝福让我们一起迎接熠熠生辉的未来吧,,支持新疆棉 力挺中国造,2,8,8,2021-04-15 22:31:00,,
新传考研#田心热点剖析#“抵制新疆棉”事件、清华毕业生征友被嘲、互联网黑话困局、关于影视版权保护的联合声明、超5亿脸书用户信息遭泄露……4月上热点来啦，快来学它！O4月（上）|这次的半月热点请重点学习！全是干货！,,田心热点剖析,1,0,0,2021-04-15 22:29:00,,
美国FBI局长：没有哪个国家比中国对美国威胁更大，我们每10小时就开启一项针对中国的新调查。#BCI下架抵制新疆棉声明是啥操作#L大千小小的微博视频,,BCI下架抵制新疆棉声明是啥操作,1,4,7,2021-04-15 22:06:00,,
